Var1,Var2,Var3,Var4a,Var4b,Var4c,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Ex.KLD Dryer
YTMN,04/05/2018,0,0,0,1,80.84,19.37,66.33,15.92,74.40,4.03,68.58,16.63,15.44,15.03
YTMN,04/05/2018,0,0,0,1,80.88,18.89,66.32,15.52,74.45,4.04,68.39,16.61,15.55,15.03
YTMN,04/05/2018,0,0,0,1,80.88,18.44,66.30,15.14,74.36,4.06,68.74,16.48,15.23,15.03
YTMN,04/05/2018,0,0,0,1,81.12,22.01,66.20,17.97,74.01,3.83,73.24,15.52,15.19,15.03
YTMN,04/05/2018,0,0,0,1,81.10,21.79,66.19,17.79,73.98,3.83,73.23,15.48,15.22,15.03
YTMS,03/04/2018,0,0,0,1,81.24,15.95,66.31,13.04,75.07,4.15,62.85,18.01,13.8,14.62
YTMS,03/04/2018,0,0,0,1,81.23,15.77,66.32,12.90,75.06,4.13,62.96,17.95,13.89,14.62
YTMS,03/04/2018,0,0,0,1,81.17,16.85,66.31,13.78,74.90,4.16,63.92,17.87,14.32,14.62
YTMZ,09/01/2018,0,1,0,0,78.99,1.58,66.27,1.30,68.09,4.47,62.41,16.75,13.43,14.41
YTMZ,09/01/2018,0,0,1,0,78.99,20.39,66.38,17.15,66.60,5.09,59.71,19.04,13.5,14.41
YTMZ,09/01/2018,0,0,1,0,78.84,19.49,66.39,16.42,66.23,5.26,59.35,19.09,13.49,14.41
YTMZ,09/01/2018,0,0,1,0,78.80,18.71,66.45,15.78,65.88,5.38,59.35,19.31,13.75,14.41
BER,21/01/2018,0,1,0,0,78.43,1.43,66.66,1.45,62.81,4.44,55.52,25.42,13.62,15.03
BER,21/01/2018,0,1,0,0,78.39,1.30,66.95,1.45,63.38,4.37,59.24,22.69,14.11,15.03
BER,21/01/2018,0,0,0,1,78.78,15.35,66.47,13.00,64.83,5.27,54.34,19.79,13.85,15.03
CJQ,06/01/2018,1,1,0,0,78.19,1.24,66.39,1.44,63.77,4.49,59.80,17.30,13.55,14.2
CJQ,06/01/2018,1,1,0,0,78.38,1.38,66.46,1.34,64.66,4.68,60.87,16.57,13.1,14.2
CRK,03/01/2018,1,1,0,0,79.34,1.23,66.22,1.26,66.45,4.16,63.38,15.61,13.11,14.18
CTL,10/02/2018,0,0,1,0,77.80,1.53,65.71,1.32,68.69,4.08,58.75,21.65,12.92,14.84
CTL,10/02/2018,0,0,1,0,77.42,1.36,65.87,1.41,68.11,4.55,53.51,22.31,13.52,14.84
CTM,09/06/2017,0,1,0,0,80.03,1.27,65.03,1.20,71.64,2.68,79.89,9.83,14.72,15.13
